"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;;;;;;;;;;;;
"1620931486768828419,""2023-02-01T23:45:56.000Z"",""1"",""Ternyata bukam capek kerja, tapi capek sama keadaan setelah nya 🥺 https://t.co/DKZnOfGULJ"",""1620931486768828419"",""https://pbs.twimg.com/media/Fn60lRSakAAymAA.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/ElfiantoPutri/status/1620931486768828419"",""1499456875900784642"",""ElfiantoPutri""";;;;;;;;;;;;;
"1620410685229502469,""2023-02-01T23:43:37.000Z"",""0"",""@kegblgnunfaedh Capek capek kerja, nabung. Duitnya dipinjem orang mulu xixixi"",""1620930902082867200"","""",""kegblgnunfaedh"",""in"","""",""0"",""0"",""0"",""https://x.com/shelloeynih/status/1620930902082867200"",""1554810022214766592"",""shelloeynih""";;;;;;;;;;;;;
"1620924797105618945,""2023-02-01T23:19:21.000Z"",""1"",""Capek kerja lembur sampe 12jam kmaren langsung lenyap seketika ngobrol intens sama orang ini🥺🫰";" I'm still wondering what things I did until the universe brought this person into my life..."","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;
"It's been a long time since I felt a feeling of happiness like this🥹 https://t.co/tvaNEqPNFz"",""1620924797105618945"",""https://pbs.twimg.com/media/Fn6ugryakAE5iCU.jpg"","""",""en"","""",""0"",""0"",""0"",""https://x.com/callmefeyx/status/1620924797105618945"",""1294474295070998528"",""callmefeyx"","""","""",""""";;;;;;;;;;;;;
"1620883760672817152,""2023-02-01T20:36:17.000Z"",""0"",""Pertanyaan teh ica saat ketemu di Sydney adalah... """"""""koi nangis ga tinggal di desa kemaren?""""""""";" Pertanyaan bikin bingung soalnya kok sampe nangis"","" ya kadang cuma sedih aja sih 🤣"","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;
"Terus tadi gue liat vt student di Sydney yang nangis2 capek kerja banyak tugas. Oh ternyata... 🙃"",""1620883760672817152"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/khoirinaannisa/status/1620883760672817152"",""148209756"",""khoirinaannisa"","""","""",""""";;;;;;;;;;;;;
"1620363074208399360,""2023-02-01T19:23:45.000Z"",""0"",""@worksfess gw lg di tahap capek kerja dg lingkungan kerja yg toxic 😭"",""1620865504142594048"","""",""worksfess"",""in"","""",""0"",""0"",""0"",""https://x.com/belvyach/status/1620865504142594048"",""1433404635188842497"",""belvyach""";;;;;;;;;;;;;
"1620836632491606016,""2023-02-01T18:05:17.000Z"",""6"",""@yourlove_army Jungkook dah capek kerja 10 tahun jadi mau istirahat 1 tahun trus wamil 2 tahun baru deeh nanti kerja lagii , jangan diikutin yaaa guysss doi gegoleran aja uangnya tetap mengalir seperti pipa rucika 😭😭😭"",""1620845758424702977"","""",""yourlove_army"",""in"","""",""0"",""0"",""0"",""https://x.com/KimAlpaa/status/1620845758424702977"",""1526762996822704128"",""KimAlpaa""";;;;;;;;;;;;;
"1620844445699837953,""2023-02-01T18:00:04.000Z"",""0"",""Apapun, ya kudu dilakoni. Karna capek kerja akan kalah dengan capeknya nyari kerja."",""1620844445699837953"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/meztdaengmalewa/status/1620844445699837953"",""496916013"",""meztdaengmalewa""";;;;;;;;;;;;;
