No;cleaning;label;dimensi_MBI;catatan
1;ternyata bukam capek kerja tapi capek sama keadaan setelah nya;burnout;EE;-
2;capek capek kerja nabung duitnya dipinjem orang mulu xixixi;burnout;EE;-
3;capek kerja lembur sampe jam kmaren langsung lenyap seketika ngobrol intens sama orang ini im still wondering what things i did until the universe brought this person into my life;tidak_burnout;tidak_burnout;-
4;pertanyaan teh ica saat ketemu di sydney adalah koi nangis ga tinggal di desa kemaren pertanyaan bikin bingung soalnya kok sampe nangis;tidak_burnout;tidak_burnout;-
5;gw lg di tahap capek kerja dg lingkungan kerja yg toxic;burnout;EE;-
6;jungkook dah capek kerja tahun jadi mau istirahat tahun trus wamil tahun baru deeh nanti kerja lagii jangan diikutin yaaa guysss doi gegoleran aja uangnya tetap mengalir seperti pipa rucika;tidak_burnout;tidak_burnout;-
7;apapun ya kudu dilakoni karna capek kerja akan kalah dengan capeknya nyari kerja;tidak_burnout;tidak_burnout;-
8;buat kalian yang udah kerja gua doain semoga selalu diberi keberkahan dalam pekerjaannya yaa pesen gua cuman satu kurangin ngeluhnya iyaa paham kok capek kerja tapi satu hal yang musti kalian tau kalo lebih capek cari kerja gk percaya coba sini yuk buktiin bareng;tidak_burnout;tidak_burnout;-
9;sebenernya capek kerja sama dengan orangorang yang minim motivasi cuma ingin tau berhasilnya aja tanpa ingin lelahnya udah bener ngapangapain sendirian;burnout;CY;-
10;memasuki fase bukan capek kerja tapi masuk ke fase capek banget ke perjalanan kantor dan pulang kantor macet bangetttt ke kantor capek di jalan;burnout;EE;-
11;mendingan capek kerja dari pada capek cari kerja semangat;tidak_burnout;tidak_burnout;-
12;dia ga ngapain gue yg kena omel dblgnya kaka kamu udh capek kerja kontol;burnout;EE;-
13;ini w yg egois apa gimana si orang dia capek kerja sampe malem juga;tidak_burnout;tidak_burnout;-
14;vitamin waktu hamil itu gak sesepele vitamin pas sebelum nikah biar gak capek kerja kak gitu sih kata ibuku gak bisa dipukul rata buat juga yang dibutuhkan tiap ibu hamil itu beda² tergantung hasil pemeriksaan dokter obsgyn;tidak_burnout;tidak_burnout;-
15;kalau mas yeyo kaya gini gimana adek nggak makin naksir coba mas yang udah capek kerja seharian dengerin adek cerita panjang banget tapi masih sempetin waktunya buat temenin adek masih minta adek buat ceritain semuanya sambil mas patspats adek sayaaang banget sama mas;tidak_burnout;tidak_burnout;-
16;lagu bss yang pm kayaknya bakal jadi favorite gue deh baru denger dikit aja udah tau tuh lagu bakal balikin mood gue setelah seharian capek kerja;tidak_burnout;tidak_burnout;-
17;info papi gula dah capek kerja;tidak_burnout;tidak_burnout;-
18;yang evening corse bener langsung berasa vibes jalan pulang setelah capek kerjakampus;tidak_burnout;tidak_burnout;-
19;bentar gua terlalu capek kerja sampai lupa fangirling;burnout;EE;-
20;ada masanya capek kerja bolak balik gini tapi yang pasti tetap bersyukur;tidak_burnout;tidak_burnout;-
21;me hmm gaji ku dikit also me scrolling shopee;burnout;CY;sarkasme-CY
22;lagi capek kerja nihh setiap hari ngeluh tapi tetep aja berangkat kerja dari pagi sampe malemm;burnout;EE;-
23;capek kerja ilang kalo abis tlp bojo;tidak_burnout;tidak_burnout;-
24;kadang pengen ngeluh capek kerja tapi sadar pernah berada di titik capek banget nyari kerja;tidak_burnout;tidak_burnout;-
25;lope lopeku kak olwesssscapek kerja baca beginianhilanglah lelahku;tidak_burnout;tidak_burnout;-
26;capek kerja nonton noktah merah perkawinan malah jadi capek mental;burnout;EE;-
27;capek kerja malah bikin overthinking sm yg lain pas sampe rumah heu;burnout;EE;-
28;ga usah ngerasa paling capek kerja mu baru gitu gitu doang;tidak_burnout;tidak_burnout;-
29;capek kerja peng jadi orang kaya;burnout;CY;-
30;capek kerja terus g kerja ga dpt duit;burnout;CY;-
31;mending capek kerja daripada capek nyari kerja tp kan duanya tetep aja capeeeg jancoeg;burnout;EE;-
32;capek kerja capek juga dikejar harapan orangtua mau gabung sannoh rengo aja hidup bebas;burnout;CY;-
33;klo capek kerja jangan pulang efek sampingnya sekitarnya yang kena true;tidak_burnout;tidak_burnout;-
34;pas udah kerja yaallah capek kerja pengen nikah aja;burnout;EE;-
35;gw tim pilih sendiri sih nder soalnya kalau dipilihin itu gw yang kebanyakan apes rata rata gw dapet yang tau jadi mulu gw capek kerja eh mereka malah dapet nilai cuma dengan ngang ngeng ngong klw pilih sendiri gw jadi bisa bagi bagi tugas dnegan secara merata jadi gw ngga;burnout;RPA;-
36;mau ngeluh hidup capek tapi mikir kebelakang orang tua lebih capek kerja sampai sekarang juga;tidak_burnout;tidak_burnout;-
37;buat para cowo tadi semoga dapat rezeki dilancarin pekerjaannya semangat brow karna ya lebih baik capek kerja dapet hasil sendiri walaupun jd marketer daripada kerja karna minta jd pengemis;tidak_burnout;tidak_burnout;-
38;gaji dikit tapi muridnya nggak terlalu gila mah oke lha ini gaji dikit murid gila astaghfirullah mau resign tapi belum ada pekerjaan lain;burnout;CY;-
39;mungkin karena emang sakit capek kerja kali ya;burnout;EE;-
40;ak capek kerja sm org apalagi kalo jadi pegawai pemerintahan ak ga suka sama sistem kerja nya ya kalo ada ksempatan dan rezeki ak masih dikasih kerja alhamdulillah tp jujur keinginan ak lebih mau buka usaha sndiri ak mau jadi owner setiap hari megang uang dari usaha;burnout;CY;-
41;capek kerja mau baca au aja t_t;burnout;EE;-
42;capek kerja gak tau waktu ujungnya habis dalam sekejap ini benerbener bikin struggle sih kadang emang;burnout;EE;-
43;siang capek kerja malam capek merenung;burnout;EE;-
44;gapapa capek kerja daripada capek nyari kerja semangat yok;tidak_burnout;tidak_burnout;-
45;capek kerja tapi lebih capek lagi kalau ga ada kerjaan;tidak_burnout;tidak_burnout;-
46;di fase capek kerja tapi biaya hidup melangit;burnout;EE;-
47;jangan pak fokus ke yg diliat netizen aja jgn fokus kerja yg ada capek kerja tp elektabilitas ga naik yg penting suara aja pak kerja mah brlakangan;tidak_burnout;tidak_burnout;-
48;aku capek kerja info loker yg kerjanya pake otak dong;burnout;EE;-
49;jangan capek kerja itu masih bisa ketawa ketemu temen capek di rumah mana bisa;tidak_burnout;tidak_burnout;-
50;jangan nder kasian nanti istrinya jadi kaya tanteku suaminya gk kerja malah tante ku yang capek kerja dari pagi sampe sore ditambah ngurus kerjaan rumah dan anter jemput anak udah gitu setiap minggu pasti minta uang ke papaku;tidak_burnout;tidak_burnout;-
51;bapakku mulai bisa masak sejak aku kuliah ditambah tiap tahun adek²ku mulai kuliah di rumah cuma ada ibu sm bapakbosen makan diluar dan ibukku yg udah capek kerja dan ngurus rumah bapakku akhirnya belajar masakyg awalnya cuma bisa nyambel dan goreng tempe walau kdg asin;tidak_burnout;tidak_burnout;-
52;oh jadi gini rasanya punya temen cerita kalau habis capek kerja;tidak_burnout;tidak_burnout;-
53;gue juga capek kerja tp gue selalu ngerasa capek gue ilang kalo gue udah sama dia tp beda sama dia yg kalo capek milih buat istrahat;tidak_burnout;tidak_burnout;-
54;capek kerja selama satu bulan full eh pas gajian uang nya abis buat menuhin kebutuhan nggak ada sisa nya nangis banget kek nyesek banget;burnout;RPA;-
55;ladang tu klo ud jenuh kerja milih pulang ke rumah it cuma ngerjain halhal kecil macem ganti seprei sama nyampulin buku itu id seneng;tidak_burnout;tidak_burnout;-
56;gue dr kemaren bawaan nya pengen nangis terus knp yaaaa sebelum nya pernah ngerasain pengen nangis karna capek kerja tp kali ini gatau kenapa sensitif banget;burnout;EE;-
57;mau bilang capek kerja tapi malu sama member treasure yg kerjanya x lipat dari gue bisa gak sih langsung punya duit tanpa kerja;burnout;CY;sarkasme-CY
58;jgn harap ada keajaiban dari drakor ini isinya capek kerja ga dihargai dll mirip lah ky hidup sehari di kantor;burnout;RPA;-
59;aaaaa capek kerja maunya nikah sama mingyu;burnout;EE;-
60;ada yang capek kuliah karena tugasada yang capek kerja karena tertekanada yang capek cari kerja sana sini belum dapet semua punya capeknya masing;tidak_burnout;tidak_burnout;-
61;aku gen z kebetulan engga karena aku tau rasanya capek kerja kayak apa dan aku juga tau rasanya kelimpengan ga punya asset dan dana darurat kayak apa bagi aku self reward bisa dari hal kecil semacam nonton netflix udah cukup ga harus dari barang hal mahal ini opini pribadi;tidak_burnout;tidak_burnout;-
62;bukan lagi pengen lanjut kuliah karena capek kerja atau lari tapi lebih karena buat upgrade di karir;tidak_burnout;tidak_burnout;-
63;tapi gua capek kerja sendirian;burnout;EE;-
64;kita kadang capek kerja mau pindah akhirnya setelah pindah kita akan ngeluh lagi mau pindah;burnout;CY;-
65;udah berulang kali ngerasain capek kerja ini cuma ketambahan yg lain lain jadi puyeng tai;burnout;EE;-
66;capek kerja masih capek nyari kerja;burnout;EE;-
67;ngedenger anak yg dimarahi ini jdi keinget dulu gimana ibu yg capek kerja suka bilang klo gw ga punya ayah jdi jgn ky temen lain yg punya ortu lengkap ga boleh minta macem jgn ngambek sampe bilang dia nyesel ngelahirin gw;tidak_burnout;tidak_burnout;-
68;kalo gw sih buat disimpenduit aman kebutuhan lo bisa ambil dari sini lagi buat beli asetrumahtanahsawah atau bisa juga kasih modal ke ortu buat buka usaha jadi nanti kalo lu udah capek kerja di situ pulang udah ada usaha yg jalan;tidak_burnout;tidak_burnout;-
69;w aja capek kerja di negara indo inih;burnout;EE;-
70;nih gue butuh yg begini capek kerja rodi;burnout;EE;-
71;capek kerja kelompok terus;burnout;EE;-
72;kdg ga bales krn ga pgn chatan aja males tau kalo ga ada energi dipaksa utk chatan sm org komunikasi itu menghabiskan banyak energi udh capek kerja msh dituntut ladenin org kalo urgent ya call aja lgsg to the point;burnout;EE;-
73;belum nonton ayyo soalnya capek kerja;tidak_burnout;tidak_burnout;-
74;dlu ada tmn tp skrg g ada ya paling klo udh capek kuliah capek kerja cm nangis aja diem;burnout;EE;-
75;pernah ga sih lu capek kerja terus pengen nyenengin hati tapi gapunya hobi akhirnya kaya mati rasa aja;burnout;EE;-
76;capek kerja bawaannya pengen nikah aja;burnout;EE;-
77;tahun ini semoga bs tarawih di masjid takutnya capek kerja;burnout;EE;-
78;ternyata bener kata orang orang mending capek kerja daripada capek nyari kerja aslii;tidak_burnout;tidak_burnout;-
79;capek kerja mau suami kayak mas pra nyari dimanaaaaa tolong;burnout;EE;-
80;jatah capek kerja seminggu abis buat hari ini doang;burnout;EE;-
81;kalo lg capek kerja w selalu mikir at least w bukan anak buahnya sambo;tidak_burnout;tidak_burnout;-
82;lebih baik capek kerja daripada capek habisin uang;tidak_burnout;tidak_burnout;-
83;biar pak suami aja yg kerja matian kita udah capek kerja matian;burnout;EE;sarkasme-EE
84;q dah siap dilamar jadi gausah kode kode lamgsung gas aja dah capek kerja sudah saatnya aku dimanjakan oleh duit salah satu dari mereka;burnout;EE;-
85;aku juga capek kerja makanya lg antri di rs;burnout;EE;-
86;capek kerja maunya langsung dipeluk kekayaan aja;burnout;CY;sarkasme-CY
